policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,debt_mode,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id
caw_vou_full,severe_burst,50668,26663,240,4,4,0.0,0.0,bounded,0.09922208294587884,6.358197629009772e-05,0.0,0.1333333333333333,83.68200836820084,72.90794979079497,0.9947927551375816,0.9998862194214684,7.0,3.3666666666666667,0.10404463040446305,24
caw_vou_full,severe_burst,50668,26663,240,4,4,0.0,0.0,accumulating,0.11813937888767746,0.00011027959135285924,0.0,0.1333333333333333,98.74476987447699,72.90794979079497,0.9994269842311297,0.9998862194214684,19.0,3.7666666666666666,0.1009065550906555,24
caw_vou_full,severe_burst,50685,27322,240,4,4,0.0,0.0,bounded,0.025840135391896994,3.6277768479776808e-06,0.0,0.1333333333333333,88.28451882845188,73.74476987447699,0.995638059132404,0.9998862194214684,10.0,4.8,0.10404463040446305,25
caw_vou_full,severe_burst,50685,27322,240,4,4,0.0,0.0,accumulating,0.027322042335777345,4.095224546722463e-06,0.0,0.1333333333333333,96.23430962343096,73.74476987447699,0.9985097782147918,0.9998862194214684,20.0,5.233333333333333,0.10299860529986053,25
caw_vou_full,severe_burst,50702,27547,240,4,4,0.0,0.0,bounded,0.03294355728845889,6.414489539748942e-06,0.0,0.1333333333333333,92.05020920502092,74.7907949790795,0.9936895209515721,0.9998862194214684,12.0,5.333333333333333,0.10509065550906556,26
caw_vou_full,severe_burst,50702,27547,240,4,4,0.0,0.0,accumulating,0.03658342944232443,8.23774058577405e-06,0.0,0.1333333333333333,98.32635983263599,74.7907949790795,0.9980518062289772,0.9998862194214684,26.0,6.466666666666667,0.10299860529986053,26
caw_vou_full,severe_burst,50719,29043,240,4,4,0.0,0.0,bounded,0.10913777088809261,8.671619525801943e-05,0.0,0.1333333333333333,98.32635983263599,70.81589958158996,0.9859072276159644,0.9998862194214684,16.0,4.6,0.10718270571827057,27
caw_vou_full,severe_burst,50719,29043,240,4,4,0.0,0.0,accumulating,0.1060980120562668,7.45179288702929e-05,0.0,0.1333333333333333,99.16317991631799,70.81589958158996,0.9954428614995849,0.9998862194214684,25.0,5.866666666666666,0.10299860529986053,27
caw_vou_full,severe_burst,50736,29524,240,4,4,0.0,0.0,bounded,0.19426744843374813,0.0012019389023709903,0.01394700139470014,0.1333333333333333,92.05020920502092,73.32635983263597,0.994597888780062,0.9998862194214684,12.0,4.366666666666666,0.10509065550906556,28
caw_vou_full,severe_burst,50736,29524,240,4,4,0.0,0.0,accumulating,0.1969296865615151,0.0011723757057182703,0.01394700139470014,0.1333333333333333,97.07112970711297,73.32635983263597,0.9977902965194976,0.9998862194214684,11.0,4.433333333333334,0.10299860529986053,28
caw_vou_full,severe_burst,50753,31034,240,4,4,0.0,0.0,bounded,0.35748896320249285,0.004084884032078103,0.05578800557880056,0.1333333333333333,96.65271966527196,74.05857740585773,0.9882739678626257,0.9992302982594233,14.0,6.533333333333333,0.10613668061366806,29
caw_vou_full,severe_burst,50753,31034,240,4,4,0.0,0.0,accumulating,0.3881554430631467,0.00349161779916318,0.04184100418410042,0.1333333333333333,99.16317991631799,74.05857740585773,0.9934302919628676,0.9992302982594233,25.0,6.866666666666666,0.10299860529986053,29
